Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang
Henrikh Mkhitaryan,Henrikh Mkhitaryan
Mesut Özil,Mesut Ozil
Aaron Ramsey,Aaron Ramsey
Alexandre Lacazette,Alexandre Lacazette
Granit Xhaka,Granit Xhaka
Lucas Torreira,Lucas Torreira
Mattéo Guendouzi,Matteo Guendouzi
Ainsley Maitland-Niles,Ainsley Maitland-Niles
Stephan Lichtsteiner,Stephan Lichtsteiner
Sokratis Papastathopoulos,Sokratis Papastathopoulos
Shkodran Mustafi,Shkodran Mustafi
Héctor Bellerín,Hector Bellerin
Petr Čech,Petr Cech
Sergio Agüero,Sergio Aguero
Gabriel Jesus,Gabriel Jesus
Raheem Sterling,Raheem Sterling
Leroy Sané,Leroy Sane
Bernardo Silva,Bernardo Silva
Riyad Mahrez,Riyad Mahrez
Kevin De Bruyne,Kevin De Bruyne
Fernandinho,Fernandinho Luiz Roza
İlkay Gündoğan,Ilkay Gundogan
Benjamin Mendy,Benjamin Mendy
Aymeric Laporte,Aymeric Laporte
John Stones,John Stones
Kyle Walker,Kyle Walker
Ederson,Ederson Moraes
Sadio Mané,Sadio Mane
Xherdan Shaqiri,Xherdan Shaqiri
Roberto Firmino,Roberto Firmino
Jordan Henderson,Jordan Henderson
Mohamed Salah,Mohamed Salah
Daniel Sturridge,Daniel Sturridge
Naby Keïta,Naby Keita
Georginio Wijnaldum,Georginio Wijnaldum
James Milner,James Milner
Andrew Robertson,Andrew Robertson
Virgil van Dijk,Virgil Van Dijk
Joe Gomez,Joe Gomez
Trent Alexander-Arnold,Tren Alexander-Arnold
Alisson,Alisson Becker
Marko Arnautović,Marko Arnautovic
Andriy Yarmolenko,Andriy Yarmolenko
Felipe Anderson,Felipe Anderson
Michail Antonio,Michail Antonio
Jack Wilshere,Jack Wilshere
Declan Rice,Declan Rice
Robert Snodgrass,Robert Snodgrass
Mark Noble,Mark Noble
Arthur Masuaku,Arthur Masuaku
Angelo Ogbonna,Angelo Ogbonna
Fabián Balbuena,Fabian Balbuena
Ryan Fredericks,Ryan Fredericks
Łukasz Fabiański,Lukasz Fabianski
Nathan Redmond,Nathan Redmond
Charlie Austin,Charlie Austin
Manolo Gabbiadini,Manolo Gabbiadini
Stuart Armstrong,Stuart Armstrong
Danny Ings,Danny Ings
Ryan Bertrand,Ryan Bertrand
Mario Lemina,Mario Lemina
Oriol Romeu,Oriol Romeu
Cédric Soares,Cedric Soares
Mohamed Elyounoussi,Mohamed Elyounoussi
Wesley Hoedt,Wesley Hoedt
Jannik Vestergaard,Jannik Vestergaard
Jack Stephens,Jack Stephens
Alex McCarthy,Alex McCarthy
Chris Wood,Chris Wood
Sam Vokes,Sam Vokes
Jeff Hendrick,Jeff Hendrick
Ashley Barnes,Ashley Barnes
Jóhann Berg Guðmundsson,Johann Berg Gudmundsson
Charlie Taylor,Charlie Taylor
Jack Cork,Jack Cork
Ashley Westwood,Ashley Westwood
Aaron Lennon,Aaron Lennon
Stephen Ward,Stephen Ward
Ben Mee,Ben Mee
James Tarkowski,James Tarkowski
Matthew Lowton,Matthew Lowton
Joe Hart,Joe Hart
Diogo Jota,Diogo Jota
Raúl Jiménez,Raul Jimenez
Hélder Costa,Helder Costa
Léo Bonatini,Leo Bonatini
Jonny Castro,Jonny Castro
Rúben Vinagre,Ruben Vinagre
Rúben Neves,Ruben Neves
Morgan Gibbs-White,Morgan Gibbs-White
Matt Doherty,Matt Doherty
Willy Boly,Willy Boly
Conor Coady,Conor Coady
Ryan Bennett,Ryan Bennett
Rui Patrício,Rui Patricio
Cenk Tosun,Cenk Tosun
Oumar Niasse,Oumar Niasse
Richarlison,Richarlison de Andrade
Lucas Digne,Lucas Digne
Theo Walcott,Theo Walcott
Gylfi Sigurðsson,Gylfi Sigurdsson
Mason Holgate,Mason Holgate
Idrissa Gana Gueye,Idrissa Gueye
Morgan Schneiderlin,Morgan Schneiderlin
Leighton Baines,Leighton Baines
Michael Keane,Michael Keane
Phil Jagielka,Phil Jagielka
Séamus Coleman,Seamus Coleman
Jordan Pickford,Jordan Pickford
Joshua King,Joshua King
Callum Wilson,Callum Wilson
Lys Mousset,Lys Mousset
Ryan Fraser,Ryan Fraser
Dan Gosling,Dan Gosling
Andrew Surman,Andrew Surman
David Brooks,David Brooks
Simon Francis,Simon Francis
Charlie Daniels,Charlie Daniels
Nathan Aké,Nathan Ake
Steve Cook,Steve Cook
Adam Smith,Adam Smith
Asmir Begović,Asmir Begovic
Bobby Reid,Bobby Reid
Junior Hoilett,Junior Hoilett
Joe Ralls,Joe Ralls
Callum Paterson,Callum Paterson
Nathaniel Mendez-Laing,Nathaniel Mendez-Laing
Josh Murphy,Josh Murphy
Sol Bamba,Sol Bamba
Joe Bennett,Joe Bennett
Bruno Ecuele Manga,Bruno Ecuele Manga
Sean Morrison,Sean Morrison
Lee Peltier,Lee Peltier
Neil Etheridge,Neil Etheridge
Troy Deeney,Troy Deeney
Andre Gray,Andre Gray
Isaac Success,Isaac Success
Roberto Pereyra,Roberto Pereyra
Kiko Femenía,Kiko Femenia
Will Hughes,Will Hughes
Ken Sema,Ken Sema
Étienne Capoue,Étienne Capoue
Abdoulaye Doucouré,Abdoulaye Doucouré
Christian Kabasele,Christian Kabasele
José Holebas,Jose Holebas
Craig Cathcart,Craig Cathcart
Daryl Janmaat,Daryl Janmaat
Ben Foster,Ben Foster
Glenn Murray,Glenn Murray
Solly March,Solly March
Alireza Jahanbakhsh,Alireza Jahanbakhsh
Pascal Groß,Pascal Gross
Yves Bissouma,Yves Bissouma
Anthony Knockaert,Anthony Knockaert
Davy Pröpper,Davy Propper
Dale Stephens,Dale Stephens
Bernardo,Bernardo Silva
Lewis Dunk,Lewis Dunk
Shane Duffy,Shane Duffy
Bruno,Bruno Martins Indi
Gaëtan Bong,Gaetan Bong
Mathew Ryan,Mathew Ryan
Aleksandar Mitrović,Aleksandar Mitrovic
Ryan Sessegnon,Ryan Sessegnon
André Schürrle,André Schurrle
Aboubakar Kamara,Aboubakar Kamara
Stefan Johansen,Stefan Johansen
Tom Cairney,Tom Cairney
Kevin McDonald,Kevin McDonald
Joe Bryan,Joe Bryan
Luciano Vietto,Luciano Vietto
Maxime Le Marchand,Maxime le Marchand
Calum Chambers,Calum Chambers
Cyrus Christie,Cyrus Christie
Fabricio,Fabricio Agosto Ramírez
Wilfried Zaha,Wilfried Zaha
Christian Benteke,Christian Benteke
Alexander Sørloth,Alexander Sörloth
Jeffrey Schlupp,Jeffrey Schlupp
Andros Townsend,Andros Townsend
Cheikhou Kouyaté,Cheikhou Kouyate
James McArthur,James McArthur
Luka Milivojević,Luka Milivojevic
Patrick van Aanholt,Patrick Van Aanholt
Pape Souaré,Pape Souare
Mamadou Sakho,Mamadou Sakho
James Tomkins,James Tomkins
Aaron Wan-Bissaka,Aaron Wan-Bissaka
Wayne Hennessey,Wayne Hennessey
Steve Mounié,Steve Mounie
Alex Pritchard,Alex Pritchard
Laurent Depoitre,Laurent Depoitre
Chris Löwe,Chris Lowe
Adama Diakhaby,Adama Diakhaby
Philip Billing,Philip Billing
Jonathan Hogg,Jonathan Hogg
Aaron Mooy,Aaron Mooy
Florent Hadergjonaj,Florent Hadergjonaj
Terence Kongolo,Terence Kongolo
Christopher Schindler,Christopher Schindler
Mathias Jørgensen,Mathias Jorgensen
Ben Hamer,Ben Hamer
Willian,Willian da Silva
Eden Hazard,Eden Hazard
Pedro,Pedro Rodríguez Ledesma
Victor Moses,Victor Moses
Ross Barkley,Ross Barkley
Ruben Loftus-Cheek,Ruben Loftus-Cheek
N'Golo Kanté,N'Golo Kante
Marcos Alonso,Marcos Alonso
David Luiz,David Luiz
Antonio Rüdiger,Antonio Rudiger
César Azpilicueta,César Azpilicueta
Kepa Arrizabalaga,Kepa Arrizabalaga
Joselu,Joselu Mato
Ayoze Pérez,Ayoze Perez
Yoshinori Mutō,Yoshinori Muto
Kenedy,Robert Kenedy
Mohamed Diamé,Mohamed Diame
Jonjo Shelvey,Jonjo Shelvey
Matt Ritchie,Matt Ritchie
Christian Atsu,Christian Atsu
Paul Dummett,Paul Dummett
Ciaran Clark,Ciaran Clark
Jamaal Lascelles,Jamaal Lascelles
DeAndre Yedlin,Deandre Yedlin
Martin Dúbravka,Martin Dubravka
Harry Kane,Harry Kane
Dele Alli,Dele Alli
Son Heung-min,Heung-Min Son
Lucas Moura,Lucas Moura
Christian Eriksen,Christian Eriksen
Eric Dier,Eric Dier
Moussa Sissoko,Moussa Sissoko
Ben Davies,Ben Davies
Jan Vertonghen,Jan Vertonghen
Davinson Sánchez,Davinson Sanchez
Serge Aurier,Serge Aurier
Hugo Lloris,Hugo Lloris
Alexis Sánchez,Alexis Sanchez
Marcus Rashford,Marcus Rashford
Romelu Lukaku,Romelu Lukaku
Juan Mata,Juan Mata
Paul Pogba,Paul Pogba
Marouane Fellaini,Marouane Fellaini
Andreas Pereira,Andreas Pereira
Fred,Frederico de Paula Santos
Scott McTominay,Scott McTominay
Luke Shaw,Luke Shaw
Victor Lindelöf,Victor Lindelof
Eric Bailly,Eric Bailly
Matteo Darmian,Matteo Darmian
David de Gea,David De Gea
Kelechi Iheanacho,Kelechi Iheanacho
Demarai Gray,Demarai Gray
James Maddison,James Maddison
Jamie Vardy,Jamie Vardy
Ricardo Pereira,Ricardo Pereira
Adrien Silva,Adrien Silva
Vicente Iborra,Vicente Iborra
Ben Chilwell,Ben Chilwell
Harry Maguire,Harry Maguire
Wes Morgan,Wes Morgan
Daniel Amartey,Daniel Amartey
Kasper Schmeichel,Kasper Schmeichel
Max Meyer,Max Meyer
Joel Ward,Joel Ward
Adam Lallana,Adam Lallana
Jürgen Locadia,Jurgen Locadia
Beram Kayal,Beram Kayal
Leon Balogun,Leon Balogun
Martín Montoya,Martin Montoya
Anthony Martial,Anthony Martial
Jesse Lingard,Jesse Lingard
Ashley Young,Ashley Young
Phil Foden,Phil Foden
David Silva,David Silva
Vincent Kompany,Vincent Kompany
Ramadan Sobhi,Ramadan Sobhi
Abdelhamid Sabiri,Abdelhamid Sabiri
Jon Gorenc Stanković,Jo Gorenc-Stankovic
Tommy Smith,Tommy Smith
Olivier Giroud,Olivier Giroud
Mateo Kovačić,Mateo Kovacic
Alex Iwobi,Alex Iwobi
Nacho Monreal,Nacho Monreal
Harry Winks,Harry Winks
Érik Lamela,Erik Lamela
Kieran Trippier,Kieran Trippier
Andre-Frank Zambo Anguissa,Andre-Frank Zambo Anguissa
Timothy Fosu-Mensah,Timothy Fosu-Mensah
Marc Albrighton,Marc Albrighton
Nampalys Mendy,Nampalys Mendy
Jonny Evans,Jonny Evans
Adama Traoré,Adama Traore
Dominic Calvert-Lewin,Dominic Calvert-Lewin
Tom Davies,Tom Davies
Shane Long,Shane Long
James Ward-Prowse,James Ward-Prowse
Lucas Pérez,Lucas Perez
Carlos Sánchez,Carlos Sanchez
Pablo Zabaleta,Pablo Zabaleta
Lewis Cook,Lewis Cook
Kenneth Zohore,Kenneth Zohore
Harry Arter,Harry Arter
Víctor Camarasa,Victor Camarasa
Jacob Murphy,Jacob Murphy
Javier Manquillo,Javier Manquillo
Isaac Hayden,Isaac Hayden
Nemanja Matić,Nemanja Matic
Antonio Valencia,Antonio Valencia
Phil Jones,Phil Jones
Chris Smalling,Chris Smalling
Ander Herrera,Ander Herrera
Danny Rose,Danny Rose
Denis Odoi,Denis Odoi
Marcus Bettinelli,Marcus Bettinelli
Ki Sung-yueng,Ki Sung-yueng
Federico Fernández,Federico Fernandez
Fabian Schär,Fabian Schar
Martin Kelly,Martin Kelly
Joël Matip,Joel Matip
Jordon Ibe,Jordon Ibe
Bernard,Bernard Anicio Caldeira Duarte
Kurt Zouma,Kurt Zouma
Pierre Højbjerg,Pierre-Emile Hojbjerg
Shinji Okazaki,Shinji Okazaki
Rajiv van La Parra,Rajiv van La Parra
Isaac Mbenza,Isaac Mbenza
Danny Welbeck,Danny Welbeck
Issa Diop,Issa Diop
Matěj Vydra,Matej Vydra
Phil Bardsley,Phil Bardsley
Adrian Mariappa,Adrian Mariappa
Nathaniel Chalobah,Nathaniel Chalobah
Fernando Llorente,Fernando Llorente
Michel Vorm,Michel Vorm
Matt Targett,Matt Targett
Alfie Mawson,Alfie Mawson
Jefferson Lerma,Jefferson Lerma
Diego Rico,Diego Rico
Ademola Lookman,Ademola Lookman
Elias Kachunga,Elias Kachunga
Erik Durm,Erik Durm
Pedro Obiang,Pedro Obiang
Aaron Cresswell,Aaron Cresswell
Steven Davis,Steven Davis
Jonjoe Kenny,Jonjoe Kenny
Adam Masina,Adam Masina
Davide Zappacosta,Davide Zappacosta
Jazz Richards,Jazz Richards
Fabian Delph,Fabian Delph
Nicolás Otamendi,Nicolas Otamendi
Floyd Ayité,Floyd Ayité
Victor Wanyama,Victor Wanyama
Rob Holding,Rob Holding
Gary Cahill,Gary Cahill
Paulo Gazzaniga,Paulo Gazzaniga
Romain Saïss,Romain Saiss
Jan Bednarek,Jan Bednarek
Junior Stanislas,Junior Stanislas
Greg Cunningham,Greg Cunningham
Kevin Long,Kevin Long
Oleksandr Zinchenko,Oleksandr Zinchenko
José Izquierdo,Jose Izquierdo
Tim Ream,Tim Ream
Bernd Leno,Bernd Leno
Marc Navarro,Marc Navarro
Ivan Cavaleiro,Ivan Cavaleiro
Dejan Lovren,Dejan Lovren
Maya Yoshida,Maya Yoshida
Kadeem Harris,Kadeem Harris
Gerard Deulofeu,Gerard Deulofeu
André Gomes,Andre Gomes
Connor Wickham,Connor Wickham
Fabinho,Fabinho Tavares
Loïc Damour,Loic Damour
Aron Gunnarsson,Aron Gunnarsson
Steven Defour,Steven Defour
Sebastian Prödl,Sebastian Prodl
Ben Wilmot,Ben Wilmot
Robbie Brady,Robbie Brady
Cesc Fàbregas,Cesc Fàbregas
Jason Puncheon,Jason Puncheon
Çağlar Söyüncü,Caglar Soyuncu
Alberto Moreno,Alberto Moreno
Juninho Bacuna,Juninho Bacuna
Sergio Rico,Sergio Rico
Juan Foyth,Juan Foyth
Sead Kolašinac,Sead Kolasinac
Yerry Mina,Yerry Mina
Florin Andone,Florin Andone
Danny Simpson,Danny Simpson
Stefano Okaka,Stefano Okaka
Divock Origi,Divock Origi
Neeskens Kebano,Neeskens Kebano
Diogo Dalot,Diogo Dalot
Danilo,Danilo Luiz da Silva
Marcos Rojo,Marcos Rojo
Leander Dendoncker,Leander Dendoncker
Andreas Christensen,Andreas Christensen
Fousseni Diabaté,Fousseni Diabaté
Domingos Quina,Domingos Quina
Andy Carroll,Andy Carroll
Kyle Walker-Peters,Kyle Walker-Peters
Ibrahima Cissé,Ibrahima Cissé
Nathaniel Clyne,Nathaniel Clyne
Laurent Koscielny,Laurent Koscielny
Tom Cleverley,Tom Cleverley
Vicente Guaita,Vicente Guaita
Christian Fuchs,Christian Fuchs
Collin Quaner,Collin Quaner
Hamza Choudhury,Hamza Choudhury
Mohamed Elneny,Mohamed Elneny
Emerson Palmieri,Emerson Palmieri
Sean Longstaff,Sean Longstaff
Ben Gibson,Ben Gibson
Tom Heaton,Tom Heaton
Xande Silva,Xande Silva
David Button,David Button
Angus Gunn,Angus Gunn
Florian Lejeune,Florian Lejeune
Sam Gallagher,Sam Gallagher
Artur Boruc,Artur Boruc
Miguel Britos,Miguel Britos
Julián Speroni,Julian Speroni
Scott Dann,Scott Dann
Chris Mepham,Chris Mepham
Carl Jenkinson,Carl Jenkinson
Konstantinos Mavropanos,Konstantinos Mavropanos
Dominic Solanke,Dominic Solanke
Peter Crouch,Peter Crouch
Manuel Lanzini,Manuel Lanzini
Lazar Marković,Lazar Markovic
Willy Caballero,Willy Caballero
John Ruddy,John Ruddy
Jack Simpson,Jack Simpson
Vincent Janssen,Vincent Janssen
James McCarthy,James McCarthy
Emerson Hyndman,Emerson Hyndman
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain
Fraser Forster,Fraser Forster
Will Norris,Will Norris
Jermain Defoe,Jermain Defoe
Gary Madine,Gary Madine
Álvaro Morata,Alvaro Morata
Salomón Rondón,Jose Salomon Rondon
Mousa Dembélé,Mousa Dembele
Toby Alderweireld,Toby Alderweireld
Jordan Ayew,Jordan Ayew
Yan Valery,Yan Valery
Tyrone Mings,Tyrone Mings
Rhys Healey,Rhys Healey
Georges-Kévin N'Koudou,Georges-Kevin N'Koudou
Bakary Sako,Bakary Sako
Joe Willock,Joe Willock
Josh Sims,Josh Sims
Joel Coleman,Joel Coleman
Michy Batshuayi,Michy Batshuayi
Håvard Nordtveit,Havard Nordtveit
Sam Surridge,Sam Surridge
Samir Nasri,Samir Nasri
Leandro Bacuna,Leandro Bacuna
Matty James,Matty James
Younès Kaboul,Younes Kaboul
Heurelho Gomes,Heurelho Gomes
Simon Mignolet,Simon Mignolet
Ashley Williams,Ashley Williams
Saido Berahino,Saido Berahino
Bojan Krkić,Bojan Krkic
Eric Maxim Choupo-Moting,Eric Maxim Choupo-Moting
Darren Fletcher,Darren Fletcher
Joe Allen,Joe Allen
Erik Pieters,Erik Pieters
Geoff Cameron,Geoff Cameron
Ryan Shawcross,Ryan Shawcross
Jack Butland,Jack Butland
Jaïro Riedewald,Jairo Riedewald
Tom Ince,Tom Ince
Jay Rodriguez,Jay Rodriguez
James McClean,James McClean
Rob Elliot,Rob Elliot
Winston Reid,Winston Reid
Sullay Kaikai,Sullay Kaikai
Bruno Martins Indi,Bruno Martins Indi
Michael Hefele,Michael Hefele
Andy King,Andy King
Eliaquim Mangala,Eliaquim Mangala
Claudio Bravo,Claudio Bravo
Kevin Wimmer,Kevin Wimmer
Nick Pope,Nick Pope
Wilfried Bony,Wilfried Bony
Ibrahim Afellay,Ibrahim Afellay
Ezequiel Schelotto,Ezequiel Schelotto
Nacer Chadli,Nacer Chadli
Danny Drinkwater,Danny Drinkwater
Beni Baningime,Beni Baningime
Marvin Zeegelaar,Marvin Zeegelaar
Lee Grant,Lee Grant
Karl Darlow,Karl Darlow
Adrián,Adrian San Miguel del Castillo
Ethan Ampadu,Ethan Ampadu
Josh Tymon,Josh Tymon
Jerome Sinclair,Jerome Sinclair
Julien Ngoy,Julien Ngoy
Axel Tuanzebe,Axel Tuanzebe
Sam Baldock,Sam Baldock
Moritz Bauer,Moritz Bauer
Sam Byram,Sam Byram
Brahim Díaz,Brahim Diaz
Reece Oxford,Reece Oxford
Badou Ndiaye,Badou Ndiaye
Jordan Hugill,Jordan Hugill
Yohan Benalouane,Yohan Benalouane
Eldin Jakupović,Eldin Jakupovic
Sergio Romero,Sergio Romero
Emre Can,Emre Can
Davy Klaassen,Davy Klaassen
Wayne Rooney,Wayne Rooney
Cuco Martina,Cuco Martina
Kasey Palmer,Kasey Palmer
Sofiane Boufal,Sofiane Boufal
Dušan Tadić,Dusan Tadic
Sam McQueen,Sam McQueen
Tammy Abraham,Tammy Abraham
Kyle Bartley,Kyle Bartley
Wayne Routledge,Wayne Routledge
Tom Carroll,Tom Carroll
Leroy Fer,Leroy Fer
Leon Britton,Leon Britton
Martin Olsson,Martin Olsson
Kyle Naughton,Kyle Naughton
Matt Phillips,Matt Phillips
Hal Robson-Kanu,Hal Robson-Kanu
Sam Field,Sam Field
Jake Livermore,Jake Livermore
Claudio Yacob,Claudio Yacob
Chris Brunt,Chris Brunt
Ahmed Hegazi,Ahmed Hegazy
Craig Dawson,Craig Dawson
Benik Afobe,Benik Afobe
Marc Pugh,Marc Pugh
Thibaut Courtois,Thibaut Courtois
Jonathan Walters,Jonathan Walters
Scott Arfield,Scott Arfield
Tomer Hemed,Tomer Hemed
Markus Suttner,Markus Suttner
Dwight Gayle,Dwight Gayle
Mikel Merino,Mikel Merino
Chancel Mbemba,Chancel Mbemba
Daley Blind,Daley Blind
Edimilson Fernandes,Edimilson Fernandes
Roque Mesa,Roque Mesa
Luciano Narsingh,Luciano Narsingh
Islam Slimani,Islam Slimani
Gareth Barry,Gareth Barry
José Fonte,Jose Fonte
Ragnar Klavan,Ragnar Klavan
Tiemoué Bakayoko,Tiemoué Bakayoko
Muhamed Bešić,Muhamed Besic
André Carrillo,Andre Carrillo
Liam Rosenior,Liam Rosenior
Yohan Cabaye,Yohan Cabaye
Lee Chung-yong,Chung-Yong Lee
Sam Clucas,Sam Clucas
Àngel Rangel,Angel Rangel
Mike van der Hoorn,Mike van der Hoorn
James Collins,James Collins
Oliver Burke,Oliver Burke
James Morrison,James Morrison
Marko Grujić,Marko Grujic
Loris Karius,Loris Karius
Nikola Vlašić,Nikola Vlasic
Grzegorz Krychowiak,Grzegorz Krychowiak
Kieran Gibbs,Kieran Gibbs
Renato Sanches,Renato Sanches
Jesús Gámez,Jesus Gamez
Scott Malone,Scott Malone
Glen Johnson,Glen Johnson
Molla Wagué,Molla Wague
Dean Whitehead,Dean Whitehead
Damien Delaney,Damien Delaney
Yaya Touré,Yaya Toure
Nathan Dyer,Nathan Dyer
Per Mertesacker,Per Mertesacker
Uwe Hünemeier,Uwe Hunemeier
Gareth McAuley,Gareth McAuley
Boaz Myhill,Boaz Myhill
Charlie Adam,Charlie Adam
Orestis Karnezis,Orestis Karnezis
Jérémy Pied,Jeremy Pied
Leonardo Ulloa,Leonardo Ulloa
Henri Saivet,Henri Saivet
Connor Goldson,Connor Goldson
Nahki Wells,Nahki Wells
Yannick Bolasie,Yannick Bolasie
Aleksandar Dragović,Aleksandar Dragovic
Stephen Ireland,Stephen Ireland
Reiss Nelson,Reiss Nelson
Guido Carrillo,Guido Carrillo
David Ospina,David Ospina
Dodi Lukebakio,Dodi Lukebakio
Michael Carrick,Michael Carrick
Josh Cullen,Josh Cullen
Ramiro Funes Mori,Ramiro Funes Mori
Ben Woodburn,Ben Woodburn
Massadio Haïdara,Massadio Haidara
Nordin Amrabat,Nordin Amrabat
Kevin Mirallas,Kevin Mirallas
Oliver McBurnie,Oliver McBurnie
Jay Fulton,Jay Fulton
Charly Musonda Jr.,Charly Musonda
Jamie Murphy,Jamie Murphy
André Ayew,Andre Ayew
Diafra Sakho,Diafra Sakho
Francis Coquelin,Francis Coquelin
Philippe Coutinho,Philippe Coutinho
Freddie Ladapo,Freddie Ladapo
Martin Cranie,Martin Cranie
Zlatan Ibrahimović,Zlatan Ibrahimovic
Rolando Aarons,Rolando Aarons
Joe Lolley,Joe Lolley
Danny Ward,Danny Carl Ward
Javier Hernández,Javier Chicharito Hernandez
Ben Johnson,Glen Johnson
Mame Biram Diouf,Mame Diouf
Allan Nyom,Allan-Romeo Nyom
